datetime,open,high,low,close
2025-01-31 16:40:00,1.03613,1.03629,1.0356,1.03601
2025-01-31 16:35:00,1.0364,1.03647,1.03576,1.03612
2025-01-31 16:30:00,1.03667,1.03679,1.03591,1.03641
2025-01-31 16:25:00,1.03621,1.03702,1.03593,1.03671
2025-01-31 16:20:00,1.03596,1.03648,1.03588,1.03623
2025-01-31 16:15:00,1.03527,1.03624,1.0352,1.03605
2025-01-31 16:10:00,1.03667,1.03681,1.03494,1.03521
2025-01-31 16:05:00,1.03781,1.03881,1.03616,1.03669
2025-01-31 16:00:00,1.03737,1.0379,1.03724,1.03778
2025-01-31 15:55:00,1.0366,1.03757,1.03636,1.03737
2025-01-31 15:50:00,1.03815,1.03823,1.03626,1.03662
2025-01-31 15:45:00,1.03786,1.03824,1.03781,1.03811
2025-01-31 15:40:00,1.03783,1.038,1.03764,1.03786
2025-01-31 15:35:00,1.03767,1.03807,1.03762,1.03781
2025-01-31 15:30:00,1.03755,1.03783,1.03749,1.03769
2025-01-31 15:25:00,1.03748,1.03763,1.03715,1.03755
2025-01-31 15:20:00,1.03713,1.03755,1.03704,1.03749
2025-01-31 15:15:00,1.03762,1.03772,1.03703,1.03714
2025-01-31 15:10:00,1.03727,1.03778,1.03719,1.03767
2025-01-31 15:05:00,1.03718,1.03733,1.03678,1.03727
2025-01-31 15:00:00,1.03764,1.03769,1.03706,1.0372
2025-01-31 14:55:00,1.03781,1.03786,1.03744,1.0376
2025-01-31 14:50:00,1.03738,1.03797,1.03728,1.03782
2025-01-31 14:45:00,1.03687,1.03761,1.03666,1.03742
2025-01-31 14:40:00,1.03682,1.03731,1.03673,1.03686
2025-01-31 14:35:00,1.03708,1.03719,1.03651,1.0368
2025-01-31 14:30:00,1.03716,1.03748,1.03684,1.03707
2025-01-31 14:25:00,1.03707,1.03739,1.03677,1.03713
2025-01-31 14:20:00,1.0369,1.03709,1.03655,1.03704
2025-01-31 14:15:00,1.03698,1.03713,1.03673,1.03691
2025-01-31 14:10:00,1.03651,1.03717,1.03646,1.03704
2025-01-31 14:05:00,1.0368,1.03704,1.03644,1.03649
2025-01-31 14:00:00,1.03699,1.03732,1.03667,1.0368
2025-01-31 13:55:00,1.03765,1.03787,1.03681,1.03704
2025-01-31 13:50:00,1.03831,1.03843,1.03718,1.03771
2025-01-31 13:45:00,1.03794,1.03853,1.03789,1.03826
2025-01-31 13:40:00,1.03721,1.03867,1.03692,1.0378
2025-01-31 13:35:00,1.03674,1.03744,1.03638,1.03722
2025-01-31 13:30:00,1.03824,1.0383,1.03613,1.03681
2025-01-31 13:25:00,1.03914,1.03929,1.03736,1.03827
2025-01-31 13:20:00,1.03948,1.04077,1.03866,1.03918
2025-01-31 13:15:00,1.04197,1.04222,1.0393,1.03998
2025-01-31 13:10:00,1.04171,1.04218,1.04165,1.04195
2025-01-31 13:05:00,1.04191,1.04214,1.04164,1.04174
2025-01-31 13:00:00,1.04201,1.04217,1.04161,1.04191
2025-01-31 12:55:00,1.04209,1.04216,1.04176,1.04201
2025-01-31 12:50:00,1.04173,1.04241,1.04168,1.04211
2025-01-31 12:45:00,1.04248,1.04253,1.04134,1.04179
2025-01-31 12:40:00,1.04221,1.04285,1.04213,1.04253
2025-01-31 12:35:00,1.0426,1.0428,1.04218,1.04225
2025-01-31 12:30:00,1.04322,1.04328,1.04217,1.04265
2025-01-31 12:25:00,1.04282,1.04344,1.04267,1.0432
2025-01-31 12:20:00,1.04247,1.04297,1.04218,1.04276
2025-01-31 12:15:00,1.04252,1.04257,1.04144,1.04249
2025-01-31 12:10:00,1.04212,1.04349,1.04163,1.04252
2025-01-31 12:05:00,1.04005,1.04216,1.03899,1.04159
2025-01-31 12:00:00,1.03998,1.04034,1.03991,1.04005
2025-01-31 11:55:00,1.03988,1.04014,1.03975,1.03998
2025-01-31 11:50:00,1.03973,1.03993,1.03952,1.03989
2025-01-31 11:45:00,1.04056,1.04065,1.0397,1.03977
2025-01-31 11:40:00,1.04028,1.0408,1.04021,1.04058
2025-01-31 11:35:00,1.03989,1.04054,1.03962,1.04029
2025-01-31 11:30:00,1.0396,1.04036,1.03929,1.03989
2025-01-31 11:25:00,1.03937,1.03963,1.03921,1.03954
2025-01-31 11:20:00,1.0392,1.03944,1.03904,1.03933
2025-01-31 11:15:00,1.03895,1.03924,1.03859,1.03918
2025-01-31 11:10:00,1.03913,1.0392,1.0388,1.03893
2025-01-31 11:05:00,1.03937,1.03943,1.03901,1.03916
2025-01-31 11:00:00,1.03966,1.0397,1.03907,1.03936
2025-01-31 10:55:00,1.03883,1.04014,1.03877,1.03964
2025-01-31 10:50:00,1.03853,1.03888,1.03795,1.03876
2025-01-31 10:45:00,1.03785,1.03886,1.03777,1.03854
2025-01-31 10:40:00,1.03806,1.03843,1.03783,1.03795
