time,open,high,low,close,tick_volume,spread,real_volume
2025-03-10 16:20:00+00:00,1.0838,1.08409,1.08337,1.08409,348,0,0
2025-03-10 16:15:00+00:00,1.0838700000000001,1.08417,1.08352,1.08382,378,0,0
2025-03-10 16:10:00+00:00,1.0838700000000001,1.08468,1.08382,1.08388,420,0,0
2025-03-10 16:05:00+00:00,1.08319,1.08408,1.08319,1.0838700000000001,387,0,0
2025-03-10 16:00:00+00:00,1.08353,1.08356,1.08313,1.08316,436,0,0
2025-03-10 15:55:00+00:00,1.08342,1.08371,1.08338,1.08352,340,0,0
2025-03-10 15:50:00+00:00,1.08368,1.08375,1.08333,1.0834,361,0,0
2025-03-10 15:45:00+00:00,1.08417,1.08419,1.08346,1.08368,433,0,0
2025-03-10 15:40:00+00:00,1.08433,1.08458,1.08398,1.08418,344,0,0
2025-03-10 15:35:00+00:00,1.08423,1.08455,1.08416,1.08435,287,0,0
2025-03-10 15:30:00+00:00,1.08448,1.0846,1.08407,1.0842,338,0,0
2025-03-10 15:25:00+00:00,1.08463,1.08473,1.08439,1.08447,239,0,0
2025-03-10 15:20:00+00:00,1.08427,1.0847,1.08403,1.08463,303,0,0
2025-03-10 15:15:00+00:00,1.08467,1.08498,1.08418,1.08429,290,0,0
2025-03-10 15:10:00+00:00,1.08443,1.08509,1.08443,1.08466,412,0,0
2025-03-10 15:05:00+00:00,1.08401,1.08468,1.084,1.08446,312,0,0
2025-03-10 15:00:00+00:00,1.08443,1.08447,1.0838700000000001,1.08399,332,0,0
2025-03-10 14:55:00+00:00,1.08462,1.08462,1.08419,1.08442,335,0,0
2025-03-10 14:50:00+00:00,1.08461,1.08496,1.08456,1.08462,304,0,0
2025-03-10 14:45:00+00:00,1.08539,1.08544,1.08449,1.08461,419,0,0
2025-03-10 14:40:00+00:00,1.08498,1.08555,1.08488,1.0854,376,0,0
2025-03-10 14:35:00+00:00,1.08583,1.08588,1.08498,1.08498,375,0,0
2025-03-10 14:30:00+00:00,1.0855,1.08602,1.0853,1.08581,415,0,0
2025-03-10 14:25:00+00:00,1.08503,1.0856,1.08467,1.0855,287,0,0
2025-03-10 14:20:00+00:00,1.0848,1.08529,1.0847,1.08502,377,0,0
2025-03-10 14:15:00+00:00,1.0849,1.08517,1.08451,1.08478,315,0,0
2025-03-10 14:10:00+00:00,1.08517,1.08517,1.08453,1.0849199999999999,290,0,0
2025-03-10 14:05:00+00:00,1.08476,1.0854300000000001,1.08473,1.08516,303,0,0
2025-03-10 14:00:00+00:00,1.08506,1.08547,1.08467,1.08477,339,0,0
2025-03-10 13:55:00+00:00,1.08557,1.08573,1.08503,1.08503,260,1,0
2025-03-10 13:50:00+00:00,1.0860400000000001,1.08606,1.08548,1.08558,257,1,0
2025-03-10 13:45:00+00:00,1.08504,1.0861,1.08494,1.0860400000000001,338,1,0
2025-03-10 13:40:00+00:00,1.08463,1.08528,1.08447,1.08504,285,1,0
2025-03-10 13:35:00+00:00,1.08499,1.0852,1.08459,1.08463,323,1,0
2025-03-10 13:30:00+00:00,1.08515,1.08515,1.08479,1.08498,301,1,0
