window,count,probability
"(datetime.time(9, 30), datetime.time(11, 0))",104,0.4297520661157025
"(datetime.time(9, 25), datetime.time(10, 55))",102,0.4214876033057851
"(datetime.time(9, 20), datetime.time(10, 50))",101,0.41735537190082644
